Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Alaska Electric Light&Power Co,AK,Investor Owned,"13,912","142,255","16,970.0",11.93
Alaska Power and Telephone Co,AK,Investor Owned,"4,803","24,391","7,470.0",30.63
"Alaska Village Elec Coop, Inc",AK,Cooperative,"6,148","31,085","19,275.0",62.01
Anchorage Municipal Light and Power,AK,Municipal,"24,443","146,789","17,221.2",11.73
"Barrow Utils & Elec Coop, Inc",AK,Cooperative,"1,471","11,511","1,364.0",11.85
Bethel Utilities Corp,AK,Investor Owned,"1,671","10,677","5,990.0",56.10
Chugach Electric Assn Inc,AK,Cooperative,"69,495","549,748","76,083.0",13.84
City & Borough of Sitka - (AK),AK,Municipal,"3,669","47,899","4,570.0",9.54
City of Petersburg - (AK),AK,Municipal,"1,354","20,803","2,010.2",9.66
City of Seward - (AK),AK,Municipal,"2,064","16,488","3,344.0",20.28
City of Unalaska - (AK),AK,Municipal,686,"4,009","1,997.6",49.83
City of Wrangell - (AK),AK,Municipal,"1,170","15,273","1,604.0",10.50
"Copper Valley Elec Assn, Inc",AK,Cooperative,"2,983","17,517","5,264.1",30.05
"Cordova Electric Coop, Inc",AK,Cooperative,929,"4,998","2,107.0",42.16
Golden Valley Elec Assn Inc,AK,Cooperative,"38,011","301,535","73,023.3",24.22
Homer Electric Assn Inc,AK,Cooperative,"25,914","180,859","36,648.0",20.26
Ketchikan Public Utilities,AK,Municipal,"6,275","74,274","7,559.2",10.18
Kodiak Electric Assn Inc,AK,Cooperative,"4,696","35,273","6,536.0",18.53
Kotzebue Electric Assn Inc,AK,Cooperative,"1,130","7,887","3,446.0",43.69
Matanuska Electric Assn Inc,AK,Cooperative,"53,982","458,393","69,800.0",15.23
Nome Joint Utility Systems,AK,Municipal,"1,702","9,780","3,398.0",34.74
North Slope Borough Power & Light,AK,Municipal,659,"5,923","1,015.8",17.15
Alabama Power Co,AL,Investor Owned,"1,237,730","17,612,420","2,068,491.0",11.74
Albertville Municipal Utilities Board,AL,Municipal,"7,763","113,952","10,792.0",9.47
Arab Electric Coop Inc,AL,Cooperative,"12,367","186,289","19,670.0",10.56
Baldwin County El Member Corp,AL,Cooperative,"61,717","805,719","95,183.0",11.81
Black Warrior Elec Member Corp,AL,Cooperative,"21,714","270,532","28,902.0",10.68
Central Alabama Electric Coop,AL,Cooperative,"39,667","550,087","72,744.0",13.22
Cherokee Electric Coop,AL,Cooperative,"17,460","230,685","29,448.0",12.77
City of Alexander City,AL,Municipal,"4,715","53,503","5,636.0",10.53
City of Andalusia,AL,Municipal,"3,669","43,135","5,297.0",12.28
City of Athens - (AL),AL,Municipal,"35,689","579,686","55,391.0",9.56
City of Bessemer Utilities,AL,Municipal,"9,544","118,302","12,446.0",10.52
City of Courtland,AL,Municipal,619,"8,151",790.0,9.69
City of Dothan - (AL),AL,Municipal,"25,170","379,667","36,599.0",9.64
City of Fairhope - (AL),AL,Municipal,"5,454","70,318","8,300.1",11.80
City of Florence - (AL),AL,Municipal,"39,882","615,392","60,417.0",9.82
City of Hartselle,AL,Municipal,"4,324","63,567","6,055.0",9.53
City of Huntsville - (AL),AL,Municipal,"149,556","2,334,942","220,859.0",9.46
City of Muscle Shoals,AL,Municipal,"6,006","94,459","9,129.0",9.66
City of Opelika - (AL),AL,Municipal,"9,685","127,833","12,597.0",9.85
City of Russellville - (AL),AL,Municipal,"3,908","50,237","5,136.0",10.22
City of Scottsboro,AL,Municipal,"6,751","96,908","9,704.0",10.01
City of Tarrant,AL,Municipal,"2,178","28,715","2,979.0",10.37
City of Troy - (AL),AL,Municipal,"6,661","91,280","8,476.0",9.29
City of Tuscumbia,AL,Municipal,"3,825","53,170","5,409.0",10.17
City of Tuskegee,AL,Municipal,"6,202","63,208","7,733.0",12.23
Clarke-Washington E M C,AL,Cooperative,"18,509","214,251","27,165.0",12.68
Coosa Valley Electric Coop Inc,AL,Cooperative,"13,894","197,186","25,613.0",12.99
"Covington Electric Coop, Inc",AL,Cooperative,"21,261","285,448","41,720.0",14.62
"Cullman Electric Coop, Inc",AL,Cooperative,"34,748","498,900","55,700.0",11.16
Cullman Power Board,AL,Municipal,"6,500","84,483","8,244.0",9.76
Decatur Utilities,AL,Municipal,"22,473","337,707","30,329.0",8.98
Diverse Power Incorporated,AL,Cooperative,597,"8,277",981.1,11.85
Dixie Electric Coop,AL,Cooperative,"18,761","275,846","33,180.0",12.03
Foley Board of Utilities,AL,Municipal,"33,538","516,900","58,440.0",11.31
Fort Payne Improvement Authority,AL,Municipal,"6,199","88,202","8,655.0",9.81
Franklin Electric Coop - (AL),AL,Cooperative,"6,564","75,988","9,066.0",11.93
Guntersville Electric Board,AL,Municipal,"4,671","67,333","6,660.0",9.89
Joe Wheeler Elec Member Corp,AL,Cooperative,"34,501","566,894","61,402.0",10.83
Marshall-De Kalb Electric Coop,AL,Cooperative,"14,508","217,678","22,444.0",10.31
North Alabama Electric Coop,AL,Cooperative,"13,398","194,138","20,121.0",10.36
Pea River Electric Coop,AL,Cooperative,"14,538","201,987","25,375.0",12.56
"Pioneer Electric Coop, Inc - (AL)",AL,Cooperative,"11,996","148,416","23,807.0",16.04
Sand Mountain Electric Coop,AL,Cooperative,"24,819","343,745","37,248.0",10.84
Sheffield Utilities,AL,Municipal,"15,335","226,596","22,663.0",10.00
Singing River Elec Pwr Assn,AL,Cooperative,370,"4,002",482.4,12.05
"South Alabama Elec Coop, Inc",AL,Cooperative,"15,401","205,961","27,321.0",13.27
"Southern Pine Elec Coop, Inc",AL,Cooperative,"18,777","238,753","27,916.0",11.69
Sylacauga Utilities Board,AL,Municipal,"5,653","71,724","7,311.1",10.19
Tallapoosa River Elec Coop Inc,AL,Cooperative,"24,583","319,355","38,249.7",11.98
"Tombigbee Electric Coop, Inc",AL,Cooperative,"8,358","96,667","12,528.0",12.96
"Wiregrass Electric Coop, Inc",AL,Cooperative,"20,755","286,913","36,791.0",12.82
Arkansas Valley Elec Coop Corp,AR,Cooperative,"49,489","734,930","68,790.0",9.36
C & L Electric Coop Corp,AR,Cooperative,"19,482","250,660","25,274.0",10.08
Carroll Electric Coop Corp - (AR),AR,Cooperative,"72,089","1,044,963","89,131.0",8.53
City Water and Light Plant,AR,Municipal,"28,496","440,810","27,099.2",6.15
City of Benton - (AR),AR,Municipal,"11,069","136,072","15,261.4",11.22
City of Bentonville - (AR),AR,Municipal,"15,845","192,674","19,506.0",10.12
City of Hope,AR,Municipal,"5,743","79,193","7,146.0",9.02
City of North Little Rock - (AR),AR,Municipal,"33,091","396,685","42,444.0",10.70
City of Osceola - (AR),AR,Municipal,"2,926","39,857","5,169.0",12.97
City of Siloam Springs - (AR),AR,Municipal,"6,040","67,752","7,183.6",10.60
City of West Memphis - (AR),AR,Municipal,"10,491","162,845","12,102.0",7.43
Clarksville Light & Water Co,AR,Municipal,"3,643","46,158","3,397.0",7.36
Clay County Electric Coop Corp,AR,Cooperative,"10,442","108,326","12,904.4",11.91
Conway Corporation,AR,Municipal,"26,124","328,519","24,702.0",7.52
Craighead Electric Coop Corp,AR,Cooperative,"22,243","345,124","33,394.0",9.68
Empire District Electric Co,AR,Investor Owned,"3,562","41,212","4,277.9",10.38
Entergy Arkansas Inc,AR,Investor Owned,"584,559","7,858,971","758,155.7",9.65
First Electric Coop Corp,AR,Cooperative,"81,768","1,182,106","114,929.6",9.72
Mississippi County Electric Co,AR,Cooperative,"3,401","59,760","4,073.0",6.82
"North Arkansas Elec Coop, Inc",AR,Cooperative,"33,434","391,476","41,075.0",10.49
Oklahoma Gas & Electric Co,AR,Investor Owned,"54,551","735,213","56,066.0",7.63
Ouachita Electric Coop Corp,AR,Cooperative,"8,553","101,100","10,200.0",10.09
Ozarks Electric Coop Corp - (AR),AR,Cooperative,"52,690","703,502","62,001.0",8.81
Paragould Light & Water Comm,AR,Municipal,"11,197","185,330","15,430.0",8.33
Petit Jean Electric Coop Corp,AR,Cooperative,"17,785","213,551","20,748.6",9.72
"Rich Mountain Elec Coop, Inc",AR,Cooperative,"7,742","108,460","10,539.0",9.72
"South Central Ark El Coop, Inc",AR,Cooperative,"9,071","108,562","11,694.0",10.77
Southwest Arkansas E C C,AR,Cooperative,"23,500","361,544","32,199.5",8.91
Southwestern Electric Power Co,AR,Investor Owned,"95,979","1,132,272","93,490.0",8.26
Woodruff Electric Coop Corp,AR,Cooperative,"12,964","181,510","17,466.0",9.62
Aha Macav Power Service,AZ,Political Subdivision,687,"8,067",668.0,8.28
Ajo Improvement Co,AZ,Investor Owned,823,"5,299",475.0,8.96
Ak-Chin Electric Utility Authority,AZ,State,293,"4,814",482.0,10.01
Arizona Public Service Co,AZ,Investor Owned,"1,005,074","13,256,456","1,585,396.0",11.96
City of Mesa - (AZ),AZ,Municipal,"13,257","136,628","15,084.1",11.04
"Columbus Electric Coop, Inc",AZ,Cooperative,419,"2,395",362.7,15.14
"Dixie Escalante R E A, Inc",AZ,Cooperative,"1,991","23,353","1,396.4",5.98
Electrical Dist No2 Pinal County,AZ,Political Subdivision,"3,719","44,868","5,312.0",11.84
Electrical Dist No3 Pinal County,AZ,Political Subdivision,"19,826","255,829","37,281.0",14.57
Electrical Dist No4 Pinal County,AZ,Political Subdivision,"1,018","12,575","1,365.9",10.86
"Garkane Energy Coop, Inc",AZ,Cooperative,"1,122","22,578","2,289.0",10.14
Graham County Electric Coop Inc,AZ,Cooperative,"7,752","78,186","9,493.0",12.14
"Mohave Electric Cooperative, I",AZ,Cooperative,"35,171","384,783","46,816.0",12.17
Morenci Water and Electric,AZ,Investor Owned,"2,092","17,504","1,915.2",10.94
Navajo Tribal Utility Authority,AZ,State,"27,548","153,472","14,714.0",9.59
"Navopache Electric Coop, Inc",AZ,Cooperative,"34,867","227,394","29,956.1",13.17
Page Utility Enterprises,AZ,Municipal,"3,517","43,092","3,260.9",7.57
Salt River Project,AZ,Political Subdivision,"867,846","12,502,574","1,356,237.0",10.85
Sulphur Springs Valley E C Inc,AZ,Cooperative,"41,091","360,947","50,600.2",14.02
Trico Electric Cooperative Inc,AZ,Cooperative,"38,780","413,365","53,132.6",12.85
Tucson Electric Power Co,AZ,Investor Owned,"368,246","3,820,637","387,839.8",10.15
"UNS Electric, Inc",AZ,Investor Owned,"80,865","835,784","77,294.0",9.25
USBIA-San Carlos Project,AZ,Federal,"11,361","117,814","15,809.0",13.42
Wellton-Mohawk Irr & Drain Dist,AZ,Political Subdivision,"2,768","29,366","3,245.0",11.05
Anza Electric Coop Inc,CA,Cooperative,"4,158","35,415","6,321.0",17.85
Bear Valley Electric Service,CA,Investor Owned,"21,905","74,409","20,682.7",27.80
City of Alameda,CA,Municipal,"30,194","139,665","18,488.1",13.24
City of Anaheim - (CA),CA,Municipal,"98,185","604,605","91,768.0",15.18
City of Azusa,CA,Municipal,"13,838","76,356","10,110.0",13.24
City of Banning - (CA),CA,Municipal,"10,556","69,554","12,082.5",17.37
City of Burbank Water and Power,CA,Municipal,"45,164","264,534","39,180.0",14.81
City of Colton- (CA),CA,Municipal,"16,086","98,002","16,859.1",17.20
City of Corona - (CA),CA,Municipal,479,"3,286",546.3,16.63
City of Glendale,CA,Municipal,"72,125","384,621","57,192.0",14.87
City of Healdsburg - (CA),CA,Municipal,"4,605","27,305","3,901.3",14.29
City of Lodi - (CA),CA,Municipal,"21,843","152,614","25,135.0",16.47
City of Lompoc- (CA),CA,Municipal,"13,097","56,398","9,208.9",16.33
City of Moreno Valley - (CA),CA,Municipal,"5,033","37,713","6,611.7",17.53
City of Palo Alto - (CA),CA,Municipal,"25,393","157,905","19,769.0",12.52
City of Pasadena - (CA),CA,Municipal,"54,482","333,664","51,289.2",15.37
City of Redding - (CA),CA,Municipal,"37,048","376,125","53,655.0",14.27
City of Riverside - (CA),CA,Municipal,"96,064","722,504","116,151.0",16.08
City of Roseville - (CA),CA,Municipal,"47,994","444,345","66,363.0",14.94
City of Santa Clara - (CA),CA,Municipal,"44,350","238,070","24,756.0",10.40
City of Shasta Lake - (CA),CA,Municipal,"4,046","38,942","5,250.0",13.48
City of Ukiah - (CA),CA,Municipal,"6,273","40,958","5,396.0",13.17
City of Vernon,CA,Municipal,28,173,14.2,8.21
Hercules Municipal Utility,CA,Municipal,700,"3,883",711.5,18.32
Imperial Irrigation District,CA,Political Subdivision,"127,334","1,646,105","195,900.0",11.90
Lassen Municipal Utility District,CA,Municipal,"9,124","72,867","9,704.5",13.32
Liberty Utilities,CA,Investor Owned,"41,063","273,628","37,629.0",13.75
Los Angeles Department of Water & Power,CA,Municipal,"1,274,694","7,548,363","983,364.0",13.03
Merced Irrigation District,CA,Political Subdivision,"6,556","54,865","8,444.0",15.39
Modesto Irrigation District,CA,Political Subdivision,"94,119","865,052","153,521.0",17.75
PacifiCorp,CA,Investor Owned,"35,349","386,321","50,618.6",13.10
Pacific Gas & Electric Co,CA,Investor Owned,"4,599,078","30,776,176","4,806,046.0",15.62
Pittsburg Power Company,CA,Municipal,287,"1,594",269.3,16.89
Plumas-Sierra Rural Elec Coop,CA,Cooperative,"6,558","55,779","9,970.0",17.87
Sacramento Municipal Util Dist,CA,Political Subdivision,"533,393","4,644,196","575,531.1",12.39
San Diego Gas & Electric Co,CA,Investor Owned,"1,242,395","7,586,922","1,241,708.2",16.37
Southern California Edison Co,CA,Investor Owned,"4,305,586","30,497,707","4,878,341.0",16.00
Surprise Valley Electrificatio,CA,Cooperative,"2,833","33,812","2,541.7",7.52
Truckee Donner P U D,CA,Political Subdivision,"11,692","77,162","11,869.0",15.38
Turlock Irrigation District,CA,Political Subdivision,"72,045","708,278","105,961.0",14.96
"Valley Electric Assn, Inc",CA,Cooperative,12,112,14.6,13.04
Black Hills/Colorado Elec.Util,CO,Investor Owned,"81,928","615,855","100,211.1",16.27
City of Aspen- (CO),CO,Municipal,"1,899","21,354","2,041.1",9.56
City of Colorado Springs - (CO),CO,Municipal,"180,928","1,471,216","167,432.3",11.38
City of Fort Collins - (CO),CO,Municipal,"59,406","488,985","45,297.8",9.26
City of Fort Morgan,CO,Municipal,"5,285","46,770","2,884.0",6.17
City of Fountain,CO,Municipal,"14,961","133,174","13,792.0",10.36
City of Glenwood Springs - (CO),CO,Municipal,"4,779","37,182","3,051.7",8.21
City of Gunnison,CO,Municipal,"3,348","24,180","1,934.5",8.00
City of Longmont,CO,Municipal,"34,474","314,664","25,512.0",8.11
City of Loveland - (CO),CO,Municipal,"29,267","252,750","20,957.4",8.29
Delta Montrose Electric Assn,CO,Cooperative,"28,745","258,464","32,263.1",12.48
"Empire Electric Assn, Inc",CO,Cooperative,"12,127","95,045","12,351.5",13.00
Grand Valley Power,CO,Cooperative,"14,127","144,714","20,118.8",13.90
Gunnison County Elec Assn.,CO,Cooperative,"8,937","67,985","10,204.0",15.01
"High West Energy, Inc",CO,Cooperative,610,"6,111",708.0,11.59
Highline Electric Assn,CO,Cooperative,"4,925","49,653","5,782.4",11.65
"Holy Cross Electric Assn, Inc",CO,Cooperative,"45,196","580,377","59,911.3",10.32
Intermountain Rural Elec Assn,CO,Cooperative,"130,075","1,414,566","167,139.0",11.82
K C Electric Association,CO,Cooperative,"3,244","40,299","5,088.0",12.63
"La Plata Electric Assn, Inc",CO,Cooperative,"34,266","283,714","34,390.0",12.12
Moon Lake Electric Assn Inc,CO,Cooperative,"1,572","15,934","1,034.2",6.49
Morgan County Rural Elec Assn,CO,Cooperative,"4,818","57,784","7,549.3",13.06
"Mountain Parks Electric, Inc",CO,Cooperative,"16,449","130,776","17,513.0",13.39
"Mountain View Elec Assn, Inc",CO,Cooperative,"42,181","455,936","62,214.8",13.65
"Poudre Valley R  E  A, Inc",CO,Cooperative,"31,917","362,956","40,663.0",11.20
Public Service Co of Colorado,CO,Investor Owned,"1,171,433","9,192,981","1,015,497.0",11.05
"San Isabel Electric Assn, Inc",CO,Cooperative,"20,826","154,137","23,310.0",15.12
"San Luis Valley R E C, Inc",CO,Cooperative,"8,612","65,431","10,051.6",15.36
"San Miguel Power Assn, Inc",CO,Cooperative,"10,594","98,458","14,434.9",14.66
Sangre De Cristo Elec Assn Inc,CO,Cooperative,"10,756","71,918","11,418.0",15.88
Southeast Colorado Power Assn,CO,Cooperative,"7,618","62,982","10,118.4",16.07
Southwestern Electric Coop Inc - (NM),CO,Cooperative,6,70,12.5,17.86
Town of Estes Park,CO,Municipal,"8,222","57,988","6,666.0",11.50
Town of Frederick - (CO),CO,Municipal,"3,453","35,653","4,714.0",13.22
"Tri-County Electric Coop, Inc",CO,Cooperative,7,75,9.7,12.93
"United Power, Inc",CO,Cooperative,"60,608","651,080","78,097.9",12.00
"Wheatland Electric Coop, Inc",CO,Cooperative,36,251,33.0,13.15
"White River Electric Assn, Inc",CO,Cooperative,"2,485","19,567","2,210.0",11.29
Y-W Electric Assn Inc,CO,Cooperative,"5,007","48,407","5,922.0",12.23
Yampa Valley Electric Assn Inc,CO,Cooperative,"21,094","206,633","21,062.7",10.19
Bozrah Light & Power Company,CT,Municipal,"2,369","21,956","3,585.0",16.33
City of Jewett City - (CT),CT,Municipal,"1,886","13,199","2,438.0",18.47
City of Norwich - (CT),CT,Municipal,"17,414","124,063","23,133.2",18.65
City of South Norwalk - (CT),CT,Municipal,"5,093","39,034","5,721.8",14.66
Connecticut Light & Power Co,CT,Investor Owned,"641,061","5,456,175","901,583.0",16.52
Groton Dept of Utilities - (CT),CT,Municipal,"11,245","100,524","16,525.0",16.44
Norwalk Third Taxing District,CT,Municipal,"2,926","26,179","4,201.0",16.05
Town of Wallingford - (CT),CT,Municipal,"21,041","209,181","27,577.0",13.18
United Illuminating Co,CT,Investor Owned,"144,083","1,023,871","211,236.0",20.63
Potomac Electric Power Co,DC,Investor Owned,"205,880","1,717,496","210,327.6",12.25
City of Dover - (DE),DE,Municipal,"19,910","196,389","29,720.0",15.13
City of Milford - (DE),DE,Municipal,"5,578","61,638","8,640.0",14.02
City of Newark - (DE),DE,Municipal,"9,968","89,798","13,664.0",15.22
City of Seaford- (DE),DE,Municipal,"2,779","28,489","4,394.0",15.42
Delaware Electric Cooperative,DE,Cooperative,"75,753","978,053","109,973.0",11.24
Delmarva Power,DE,Investor Owned,"257,487","2,828,180","401,100.2",14.18
New Castle Municipal Serv Comm,DE,Municipal,"2,336","21,003","2,883.0",13.73
Town of Clayton,DE,Municipal,"1,203","12,630","1,964.0",15.55
Town of Middletown - (DE),DE,Municipal,"6,695","77,715","10,904.0",14.03
Town of Smyrna - (DE),DE,Municipal,"4,408","42,426","6,565.9",15.48
Beaches Energy Services,FL,Municipal,"28,677","423,779","53,069.0",12.52
"Central Florida Elec Coop, Inc",FL,Cooperative,"29,847","333,583","45,123.8",13.53
"Choctawhatche Elec Coop, Inc",FL,Cooperative,"38,825","531,362","64,865.8",12.21
City of Alachua - (FL),FL,Municipal,"3,517","39,213","4,825.0",12.30
City of Bartow - (FL),FL,Municipal,"9,915","123,337","16,359.0",13.26
City of Clewiston,FL,Municipal,"3,337","47,644","5,318.0",11.16
City of Green Cove Springs,FL,Municipal,"3,098","41,262","5,006.5",12.13
City of Homestead - (FL),FL,Municipal,"19,212","250,404","29,640.0",11.84
City of Key West - (FL),FL,Municipal,"24,750","327,841","45,124.0",13.76
City of Lake Worth - (FL),FL,Municipal,"21,812","217,475","28,670.0",13.18
City of Lakeland - (FL),FL,Municipal,"100,732","1,356,649","143,597.6",10.58
City of Leesburg - (FL),FL,Municipal,"18,543","200,174","24,821.0",12.40
City of Ocala,FL,Municipal,"40,083","471,445","61,389.8",13.02
City of Quincy - (FL),FL,Municipal,"3,999","45,369","4,702.0",10.36
City of Starke - (FL),FL,Municipal,"1,948","21,811","2,759.4",12.65
City of Tallahassee - (FL),FL,Municipal,"96,479","1,031,756","121,643.8",11.79
City of Vero Beach,FL,Municipal,"28,106","339,124","44,133.8",13.01
City of Winter Park - (FL),FL,Municipal,"11,363","178,735","20,424.4",11.43
"Clay Electric Cooperative, Inc",FL,Cooperative,"148,049","2,079,615","240,158.7",11.55
"Duke Energy Florida, Inc",FL,Investor Owned,"1,458,689","18,251,334","2,404,555.3",13.17
"Escambia River Elec Coop, Inc",FL,Cooperative,"8,723","123,158","16,530.0",13.42
"Florida Keys El Coop Assn, Inc",FL,Cooperative,"26,055","358,489","40,197.0",11.21
Florida Power & Light Co,FL,Investor Owned,"4,052,174","53,383,164","5,553,006.0",10.40
Florida Public Utilities Co,FL,Investor Owned,"23,669","292,981","40,813.0",13.93
Fort Pierce Utilities Authority,FL,Municipal,"22,709","204,531","26,569.0",12.99
Gainesville Regional Utilities,FL,Municipal,"82,128","757,179","97,931.0",12.93
"Glades Electric Coop, Inc",FL,Cooperative,"12,219","141,110","19,922.0",14.12
"Gulf Coast Electric Coop, Inc",FL,Cooperative,"18,647","241,353","31,931.0",13.23
Gulf Power Co,FL,Investor Owned,"379,922","5,053,724","609,454.0",12.06
Havana Power & Light Company,FL,Municipal,"1,101","12,288","1,493.0",12.15
JEA,FL,Municipal,"372,430","4,879,578","604,855.0",12.40
Kissimmee Utility Authority,FL,Municipal,"54,675","702,353","81,907.0",11.66
"Lee County Electric Coop, Inc",FL,Cooperative,"182,381","2,313,278","271,853.0",11.75
New Smyrna Beach City of,FL,Municipal,"22,407","235,645","26,091.0",11.07
Okefenoke Rural El Member Corp,FL,Cooperative,"9,393","140,865","17,048.0",12.10
Orlando Utilities Comm,FL,Municipal,"183,507","2,247,393","249,766.0",11.11
"Peace River Electric Coop, Inc",FL,Cooperative,"27,740","386,255","52,453.0",13.58
Reedy Creek Improvement Dist,FL,Municipal,9,148,17.0,11.49
"Sumter Electric Coop, Inc",FL,Cooperative,"162,784","1,922,512","237,076.0",12.33
Suwannee Valley Elec Coop Inc,FL,Cooperative,"21,862","275,803","34,217.0",12.41
"Talquin Electric Coop, Inc",FL,Cooperative,"48,472","650,887","84,667.3",13.01
Tampa Electric Co,FL,Investor Owned,"603,594","8,395,166","958,955.0",11.42
"Tri-County Electric Coop, Inc",FL,Cooperative,"15,770","161,148","22,954.0",14.24
"West Florida El Coop Assn, Inc",FL,Cooperative,"24,649","304,213","40,866.0",13.43
Withlacoochee River Elec Coop,FL,Cooperative,"182,065","2,471,821","298,698.0",12.08
Albany Water Gas & Light Comm,GA,Municipal,"31,727","379,127","38,897.0",10.26
Altamaha Electric Member Corp,GA,Cooperative,"17,954","225,255","30,154.0",13.39
Amicalola Electric Member Corp,GA,Cooperative,"41,509","556,345","63,497.0",11.41
Blue Ridge Mountain EMC - (GA),GA,Cooperative,"25,039","244,867","30,262.0",12.36
Canoochee Electric Member Corp,GA,Cooperative,"19,931","276,349","33,392.9",12.08
Carroll Electric Member Corp - (GA),GA,Cooperative,"46,246","624,448","74,814.0",11.98
Central Georgia El Member Corp,GA,Cooperative,"46,978","706,270","64,833.0",9.18
City of Acworth - (GA),GA,Municipal,"5,647","59,079","7,747.0",13.11
City of Adel- (GA),GA,Municipal,"1,975","25,536","3,137.0",12.28
City of Buford,GA,Municipal,"2,305","28,600","3,034.0",10.61
City of Cairo - (GA),GA,Municipal,"3,810","46,068","5,683.6",12.34
City of Calhoun - (GA),GA,Municipal,"3,891","41,944","3,987.9",9.51
City of Camilla,GA,Municipal,"1,867","24,395","2,874.7",11.78
City of Cartersville - (GA),GA,Municipal,"6,185","73,466","7,762.1",10.57
City of Chattanooga - (TN),GA,Municipal,"9,518","139,480","14,172.0",10.16
City of Chickamauga,GA,Municipal,854,"11,788","1,170.0",9.93
City of College Park - (GA),GA,Municipal,"7,040","72,041","7,714.0",10.71
City of Covington - (GA),GA,Municipal,"9,431","127,383","13,242.0",10.40
City of Douglas,GA,Municipal,"4,033","60,495","6,226.0",10.29
City of East Point - (GA),GA,Municipal,"13,599","134,413","15,529.0",11.55
City of Elberton,GA,Municipal,"3,436","41,528","4,600.0",11.08
City of Griffin - (GA),GA,Municipal,"12,621","147,025","15,407.0",10.48
City of La Grange - (GA),GA,Municipal,"11,271","122,984","13,115.0",10.66
City of Lawrenceville - (GA),GA,Municipal,"9,177","95,022","10,316.0",10.86
City of Marietta - (GA),GA,Municipal,"35,056","330,388","36,560.0",11.07
City of Monroe - (GA),GA,Municipal,"5,208","66,309","7,016.0",10.58
City of Moultrie - (GA),GA,Municipal,"5,680","75,108","8,388.7",11.17
City of Norcross- (GA),GA,Municipal,"3,550","37,909","4,039.0",10.65
City of Sylvania - (GA),GA,Municipal,"1,712","22,260","2,429.9",10.92
City of Thomaston - (GA),GA,Municipal,"4,028","41,949","4,099.0",9.77
City of Thomasville - (GA),GA,Municipal,"12,728","177,454","18,591.0",10.48
City of Washington - (GA),GA,Municipal,"2,044","23,497","2,771.0",11.79
Coastal Electric Member Corp,GA,Cooperative,"14,917","215,713","28,111.0",13.03
Cobb Electric Membership Corp,GA,Cooperative,"177,390","2,417,032","274,438.0",11.35
Colquitt Electric Membership Corp,GA,Cooperative,"57,254","815,760","87,667.0",10.75
Coweta-Fayette El Member Corp,GA,Cooperative,"69,111","1,012,316","104,948.0",10.37
Crisp County Power Comm,GA,Political Subdivision,"9,235","140,598","13,471.9",9.58
Dalton Utilities,GA,Municipal,"11,428","148,593","12,932.0",8.70
Diverse Power Incorporated,GA,Cooperative,"24,260","378,654","46,070.7",12.17
Excelsior Electric Member Corp,GA,Cooperative,"20,134","297,528","28,347.0",9.53
Fitzgerald Wtr Lgt & Bond Comm,GA,Municipal,"5,177","75,326","8,591.0",11.41
Flint Electric Membership Corp,GA,Cooperative,"70,687","1,077,807","110,868.8",10.29
Fort Valley Utility Comm,GA,Municipal,"4,047","47,110","4,204.0",8.92
Georgia Power Co,GA,Investor Owned,"2,057,900","25,742,280","2,986,269.8",11.60
Grady Electric Membership Corp,GA,Cooperative,"18,308","237,108","28,839.0",12.16
GreyStone Power Corporation,GA,Cooperative,"110,948","1,542,369","157,028.0",10.18
Habersham Electric Membership Corp,GA,Cooperative,"31,340","371,336","45,289.0",12.20
Hart Electric Member Corp,GA,Cooperative,"28,293","358,844","42,882.0",11.95
Haywood Electric Member Corp,GA,Cooperative,373,"2,832",457.0,16.14
Irwin Electric Membership Corp,GA,Cooperative,"10,581","135,124","17,478.0",12.93
Jackson Electric Member Corp - (GA),GA,Cooperative,"186,860","2,747,209","270,235.9",9.84
Jefferson Electric Member Corp,GA,Cooperative,"31,004","416,899","51,735.0",12.41
Little Ocmulgee El Member Corp,GA,Cooperative,"10,542","124,855","16,079.0",12.88
Middle Georgia El Member Corp,GA,Cooperative,"5,111","74,133","7,898.0",10.65
Mitchell Electric Member Corp,GA,Cooperative,"21,269","305,172","36,531.0",11.97
"Newnan Wtr, Sewer & Light Comm",GA,Municipal,"7,529","79,450","8,933.0",11.24
North Georgia Elec Member Corp,GA,Cooperative,"83,718","1,358,740","136,581.0",10.05
Ocmulgee Electric Member Corp,GA,Cooperative,"10,807","126,823","14,689.0",11.58
Oconee Electric Member Corp,GA,Cooperative,"10,809","144,587","16,697.0",11.55
Okefenoke Rural El Member Corp,GA,Cooperative,"22,606","306,338","37,493.0",12.24
Planters Electric Member Corp,GA,Cooperative,"15,022","212,605","24,742.0",11.64
Rayle Electric Membership Corp,GA,Cooperative,"15,773","188,110","24,734.0",13.15
Satilla Rural Elec Member Corporation,GA,Cooperative,"48,699","692,486","80,718.0",11.66
Sawnee Electric Membership Corporation,GA,Cooperative,"137,045","2,041,618","213,030.6",10.43
Slash Pine Elec Member Corp,GA,Cooperative,"7,756","103,698","12,029.4",11.60
Snapping Shoals El Member Corp,GA,Cooperative,"87,957","1,338,238","127,414.0",9.52
Southern Rivers Energy,GA,Cooperative,"17,513","257,511","30,867.0",11.99
Sumter Electric Member Corp,GA,Cooperative,"14,678","231,649","27,752.0",11.98
