Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
McKenzie Electric Coop Inc,MT,Cooperative,124,749,83.2,11.11
"Mid-Yellowstone Elec Coop, Inc",MT,Cooperative,"1,020","13,438","2,108.3",15.69
"Missoula Electric Coop, Inc",MT,Cooperative,"12,460","149,863","13,974.1",9.32
Montana-Dakota Utilities Co,MT,Investor Owned,"19,390","190,509","16,042.0",8.42
NorthWestern Energy LLC - (MT),MT,Investor Owned,"273,792","2,354,589","253,083.7",10.75
"Northern Lights, Inc",MT,Cooperative,"3,717","41,489","3,920.3",9.45
Park Electric Coop Inc,MT,Cooperative,"5,181","65,094","6,333.9",9.73
Powder River Energy Corp,MT,Cooperative,44,532,45.7,8.59
"Ravalli County Elec Coop, Inc",MT,Cooperative,"9,416","130,987","11,060.0",8.44
"Sheridan Electric Coop, Inc",MT,Cooperative,"2,729","34,059","2,950.0",8.66
"Sun River Electric Coop, Inc",MT,Cooperative,"4,435","45,248","5,660.2",12.51
